,Dataset,Accuracy,Loss
0,base_dataset-train,0.9696242171189979,0.08268414941213664
1,black_and_white_base_dataset-train,0.9582985386221294,0.11162661191057383
2,augment_dataset-train,0.954214509394572,0.12224102313342645
3,cluster_dataset-train,0.5700678496868476,0.6832690613098654
4,representative_dataset-train,0.75,0.43887272477149963
5,base_dataset,0.9546972860125261,0.14524757271632552
6,black_and_white_base_dataset,0.9508350730688935,0.1460502280977865
7,augment_dataset,0.9430584551148226,0.17204983691684902
8,cluster_dataset,0.5701461377870564,0.6923344612121582
9,representative_dataset,0.5625,1.2877156734466553
